iter	Passed	Remaining
398	3071	4626
399	3073	4610
400	3076	4595
401	3078	4580
402	3082	4566
403	3085	4552
404	3087	4536
405	3090	4521
406	3092	4506
407	3096	4493
408	3100	4480
409	3103	4465
410	3105	4451
411	3108	4436
412	3111	4422
413	3114	4409
414	3117	4394
415	3120	4380
416	3124	4368
417	3128	4355
418	3131	4342
419	3134	4328
420	3137	4314
421	3141	4302
422	3144	4289
423	3146	4274
424	3149	4260
425	3152	4247
426	3155	4234
427	3158	4221
428	3161	4208
429	3164	4194
430	3166	4180
431	3170	4168
432	3173	4155
433	3176	4142
434	3179	4129
435	3181	4115
436	3185	4103
437	3188	4091
438	3191	4078
439	3194	4065
440	3196	4052
441	3200	4040
442	3204	4028
443	3206	4015
444	3209	4002
445	3212	3990
446	3217	3980
447	3220	3967
448	3223	3955
449	3226	3943
450	3229	3930
451	3233	3920
452	3236	3907
453	3238	3895
454	3241	3882
455	3243	3869
456	3246	3857
457	3249	3845
458	3251	3832
459	3254	3820
460	3256	3807
461	3259	3795
462	3262	3784
463	3265	3772
464	3267	3759
465	3270	3747
466	3272	3735
467	3276	3724
468	3278	3712
469	3281	3700
470	3283	3688
471	3286	3675
472	3289	3664
473	3293	3654
474	3295	3642
475	3298	3630
476	3300	3618
477	3302	3606
478	3306	3596
479	3309	3585
480	3312	3573
481	3314	3562
482	3317	3551
483	3322	3542
484	3325	3531
485	3327	3519
486	3330	3507
487	3332	3496
488	3335	3485
489	3338	3475
490	3341	3463
491	3343	3452
492	3345	3440
493	3348	3429
494	3352	3420
495	3354	3409
496	3357	3397
497	3359	3386
498	3362	3375
499	3365	3365
500	3368	3354
501	3370	3343
502	3373	3332
503	3375	3321
504	3378	3311
505	3381	3301
506	3384	3291
507	3386	3280
508	3389	3269
509	3392	3259
510	3395	3249
511	3398	3239
512	3401	3229
513	3404	3218
514	3407	3209
515	3412	3201
516	3415	3190
517	3418	3180
518	3420	3170
519	3423	3159
520	3426	3150
521	3429	3140
522	3431	3130
523	3434	3119
524	3436	3109
525	3439	3099
526	3443	3090
527	3446	3080
528	3448	3070
529	3450	3059
530	3452	3049
531	3456	3041
532	3459	3030
533	3461	3020
534	3464	3010
535	3466	3000
536	3469	2991
537	3472	2982
538	3475	2972
539	3477	2962
540	3480	2952
541	3482	2942
542	3487	2934
543	3490	2925
544	3492	2915
545	3495	2906
546	3499	2897
547	3503	2889
548	3505	2880
549	3508	2870
550	3510	2860
551	3513	2851
552	3519	2844
553	3522	2835
554	3524	2826
555	3528	2817
556	3536	2812
557	3539	2803
558	3542	2794
559	3547	2787
560	3550	2778
561	3553	2769
562	3565	2767
563	3568	2758
564	3571	2749
565	3573	2740
566	3582	2736
567	3586	2727
568	3593	2721
569	3597	2713
570	3603	2707
571	3606	2698
572	3612	2692
573	3616	2683
574	3620	2675
575	3625	2668
576	3628	2660
577	3631	2651
578	3635	2643
579	3641	2636
580	3645	2628
581	3647	2619
582	3650	2610
583	3653	2602
584	3657	2594
585	3659	2585
586	3661	2576
587	3664	2567
588	3666	2558
589	3670	2550
590	3672	2541
591	3675	2532
592	3677	2524
593	3680	2515
594	3682	2506
595	3686	2499
596	3689	2490
597	3692	2481
598	3694	2473
599	3699	2466
600	3702	2457
601	3704	2449
602	3706	2440
603	3709	2431
604	3711	2423
605	3717	2416
606	3719	2408
607	3722	2400
608	3725	2391
609	3728	2383
610	3731	2375
611	3734	2367
612	3736	2358
613	3738	2350
614	3741	2342
615	3745	2334
616	3747	2326
617	3750	2318
618	3752	2309
619	3755	2301
620	3757	2293
621	3762	2286
622	3765	2278
623	3767	2270
624	3770	2262
625	3772	2253
626	3776	2246
627	3779	2238
628	3783	2231
629	3786	2223
630	3792	2217
631	3794	2209
632	3797	2201
633	3799	2193
634	3802	2185
635	3807	2179
636	3809	2171
637	3812	2163
638	3814	2155
639	3817	2147
640	3820	2139
641	3823	2132
642	3826	2124
643	3828	2116
644	3831	2108
645	3833	2100
646	3837	2093
647	3840	2086
648	3842	2078
649	3845	2070
650	3847	2062
651	3850	2055
652	3853	2047
653	3856	2040
654	3858	2032
655	3860	2024
656	3863	2016
657	3867	2010
658	3870	2002
659	3872	1995
660	3875	1987
661	3879	1980
662	3882	1973
663	3885	1966
664	3887	1958
665	3890	1950
666	3892	1943
667	3897	1936
668	3899	1929
669	3901	1921
670	3904	1914
671	3906	1906
672	3910	1899
673	3913	1892
674	3915	1885
675	3917	1877
676	3920	1870
677	3922	1863
678	3927	1856
679	3929	1849
680	3932	1841
681	3934	1834
682	3937	1827
683	3941	1820
684	3943	1813
685	3946	1806
686	3948	1799
687	3951	1791
688	3956	1785
689	3958	1778
690	3961	1771
691	3963	1764
692	3966	1756
693	3969	1750
